"","ACTIVITY","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9","Y0","Y1","Y2","Y3","Y4","Y5","Y6","Y7","Y8","Y9","Z0","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","XAVG","YAVG","ZAVG","XPEAK","YPEAK","ZPEAK","XABSOLDEV","YABSOLDEV","ZABSOLDEV","XSTANDDEV","YSTANDDEV","ZSTANDDEV","XVAR","YVAR","ZVAR"
"510","walking",0.08,0.24,0.49,0.115,0.06,0.005,0.01,0,0,0,1,0,0,0,0,0,0,0,0,0,0.025,0.145,0.45,0.31,0.065,0.005,0,0,0,0,1.00743,-9.3768,1.95882,44.5455,43.5556,46.0976,1.84736,2.24255,1.69304,0.177619,0.201133,0.151902,0.421449,0.448478,0.389746
"511","walking",0.025,0.14,0.385,0.315,0.08,0.03,0.025,0,0,0,0.995,0.005,0,0,0,0,0,0,0,0,0.02,0.155,0.425,0.285,0.11,0.005,0,0,0,0,2.50554,-9.02296,2.16558,46.0976,37.1154,37.8,2.02963,2.48748,1.75109,0.197079,0.222897,0.16024,0.443936,0.47212,0.4003
"512","walking",0.005,0.105,0.24,0.43,0.135,0.05,0.03,0.005,0,0,0.99,0.01,0,0,0,0,0,0,0,0,0.02,0.15,0.355,0.36,0.1,0.015,0,0,0,0,3.40709,-8.61956,2.34387,42.9545,39.7917,39.1837,2.04577,2.56092,1.82578,0.199269,0.231115,0.167694,0.446395,0.480744,0.409505
"513","walking",0.005,0.045,0.22,0.48,0.15,0.065,0.025,0.01,0,0,1,0,0,0,0,0,0,0,0,0,0.025,0.145,0.375,0.33,0.12,0.005,0,0,0,0,3.91145,-8.53459,2.22454,45.3659,42.3913,47.0732,2.04489,2.33797,1.75088,0.197177,0.209351,0.157443,0.444046,0.457549,0.396791
"514","walking",0.005,0.085,0.23,0.38,0.17,0.085,0.045,0,0,0,0.985,0.015,0,0,0,0,0,0,0,0,0.04,0.125,0.405,0.28,0.14,0.01,0,0,0,0,3.86714,-8.44557,2.24112,45.4762,36.1111,41.0638,2.28242,2.35811,1.89128,0.209697,0.216212,0.175131,0.457927,0.464985,0.418487
"515","walking",0.005,0.085,0.265,0.39,0.155,0.065,0.035,0,0,0,0.995,0.005,0,0,0,0,0,0,0,0,0.025,0.115,0.395,0.31,0.15,0.005,0,0,0,0,3.6532,-8.49664,2.41473,47.1053,36.7308,41.4894,2.24949,2.45606,1.75667,0.206858,0.220309,0.1582,0.454817,0.469371,0.397743
"516","walking",0.01,0.105,0.2,0.445,0.12,0.08,0.035,0.005,0,0,0.985,0.01,0.005,0,0,0,0,0,0,0,0.04,0.105,0.375,0.315,0.155,0.01,0,0,0,0,3.6763,-8.5037,2.48825,43.4091,39.3878,42.0455,2.17195,2.7,1.91467,0.209122,0.243593,0.172747,0.457298,0.493551,0.415629
"517","walking",0,0.05,0.285,0.415,0.14,0.08,0.025,0.005,0,0,1,0,0,0,0,0,0,0,0,0,0.035,0.115,0.42,0.24,0.175,0.015,0,0,0,0,3.6586,-8.5888,2.3637,44.6512,38,43.8636,2.10937,2.39861,1.9141,0.195389,0.21698,0.174079,0.442029,0.465811,0.417228
"518","walking",0.005,0.085,0.245,0.46,0.105,0.08,0.015,0.005,0,0,0.995,0.005,0,0,0,0,0,0,0,0,0.015,0.14,0.39,0.26,0.19,0.005,0,0,0,0,3.49389,-8.57594,2.49606,45.3659,42.6087,39.375,1.98987,2.43283,1.92112,0.190043,0.220895,0.16942,0.43594,0.469995,0.411606
"519","walking",0.005,0.135,0.23,0.39,0.13,0.08,0.025,0.005,0,0,0.995,0.005,0,0,0,0,0,0,0,0,0.025,0.125,0.385,0.265,0.175,0.025,0,0,0,0,3.47241,-8.59118,2.44485,48.7179,39.3878,41.5217,2.23044,2.55243,1.9749,0.208459,0.225712,0.175291,0.456573,0.475091,0.418678
"520","walking",0,0.105,0.21,0.48,0.09,0.095,0.015,0.005,0,0,0.99,0.01,0,0,0,0,0,0,0,0,0.01,0.135,0.395,0.3,0.15,0.01,0,0,0,0,3.48162,-8.55784,2.46421,44.7619,41.9149,42.1739,2.06762,2.29203,1.84111,0.19949,0.205981,0.164128,0.446643,0.453852,0.405128
"521","walking",0.01,0.115,0.195,0.445,0.12,0.075,0.035,0.005,0,0,0.985,0.015,0,0,0,0,0,0,0,0,0.02,0.115,0.355,0.335,0.16,0.015,0,0,0,0,3.59847,-8.52867,2.57163,48.6486,37.3469,45.1163,2.18175,2.59458,1.87887,0.208259,0.234944,0.168573,0.456354,0.48471,0.410576
"522","walking",0,0.095,0.285,0.415,0.115,0.065,0.025,0,0,0,0.99,0.01,0,0,0,0,0,0,0,0,0.015,0.165,0.295,0.34,0.16,0.025,0,0,0,0,3.43514,-8.5282,2.61134,47.5,34.6296,39.3617,2.08442,2.5708,1.99131,0.191832,0.228803,0.176985,0.437986,0.478334,0.420696
"523","walking",0.005,0.115,0.25,0.405,0.125,0.08,0.02,0,0,0,0.985,0.015,0,0,0,0,0,0,0,0,0.035,0.1,0.375,0.325,0.14,0.02,0.005,0,0,0,3.40188,-8.47862,2.54467,46.3415,38.7755,38,2.12964,2.39792,1.93285,0.19668,0.217159,0.179214,0.443487,0.466004,0.423337
"524","walking",0.015,0.12,0.22,0.425,0.135,0.07,0.015,0,0,0,1,0,0,0,0,0,0,0,0,0,0.02,0.125,0.4,0.24,0.205,0.01,0,0,0,0,3.30334,-8.59768,2.5667,42.6667,39.3878,40,2.08067,2.43764,1.9613,0.199511,0.224102,0.171228,0.446667,0.473394,0.413797
"525","walking",0,0.11,0.255,0.43,0.1,0.07,0.035,0,0,0,0.985,0.015,0,0,0,0,0,0,0,0,0.015,0.14,0.4,0.27,0.155,0.02,0,0,0,0,3.45617,-8.63277,2.46685,46.5,41.3043,43.7209,2.13554,2.76572,1.88906,0.200455,0.239163,0.169031,0.447722,0.489043,0.411133
"526","walking",0,0.115,0.24,0.36,0.175,0.09,0.02,0,0,0,0.99,0.01,0,0,0,0,0,0,0,0,0.025,0.135,0.35,0.265,0.21,0.015,0,0,0,0,3.55394,-8.56072,2.60731,46.6667,37.6923,46.9048,2.28765,2.6338,2.10336,0.203864,0.233873,0.18383,0.451513,0.483604,0.428754
"527","walking",0,0.01,0.145,0.195,0.225,0.21,0.115,0.07,0.02,0.01,0.945,0.035,0.015,0.005,0,0,0,0,0,0,0.51,0.3,0.135,0.045,0.01,0,0,0,0,0,6.83739,-6.43008,-3.03615,48.9744,58.125,55.1515,3.26291,2.36759,3.06058,0.279947,0.214291,0.272416,0.5291,0.462916,0.521935
"528","walking",0.005,0.005,0.065,0.125,0.17,0.175,0.25,0.16,0.045,0,0.185,0.26,0.33,0.18,0.045,0,0,0,0,0,0.37,0.3,0.23,0.09,0.01,0,0,0,0,0,8.88895,-0.155305,-1.73586,56,54.8571,51.0526,3.37729,2.82671,2.79694,0.287073,0.268394,0.258074,0.535791,0.518068,0.50801
"529","walking",0,0,0.04,0.14,0.11,0.175,0.295,0.18,0.05,0.01,0.28,0.295,0.3,0.105,0.02,0,0,0,0,0,0.2,0.4,0.205,0.12,0.06,0.005,0,0.01,0,0,9.64024,-0.701938,-0.458344,77.9167,65,57.5758,3.24924,2.28421,2.78342,0.276509,0.19603,0.282157,0.525841,0.442753,0.531185
"530","walking",0,0.005,0.05,0.13,0.1,0.19,0.28,0.19,0.055,0,0.245,0.335,0.305,0.08,0.035,0,0,0,0,0,0.195,0.335,0.32,0.085,0.065,0,0,0,0,0,9.44929,-0.475111,-0.338987,74,65.3333,53.4286,3.29586,2.24672,2.27899,0.280204,0.190264,0.222355,0.529343,0.436193,0.471545
"531","walking",0,0,0.045,0.15,0.095,0.175,0.27,0.23,0.035,0,0.28,0.325,0.26,0.09,0.045,0,0,0,0,0,0.18,0.345,0.28,0.14,0.055,0,0,0,0,0,9.51412,-0.52674,-0.208773,80.9091,79.5833,49.4872,3.29278,2.28772,2.39156,0.277307,0.194593,0.221137,0.5266,0.441127,0.470252
"532","walking",0,0,0.05,0.15,0.115,0.18,0.275,0.2,0.025,0.005,0.27,0.36,0.21,0.13,0.03,0,0,0,0,0,0.23,0.305,0.29,0.14,0.035,0,0,0,0,0,9.39322,-0.639091,-0.437314,72.8,67.037,50.2632,3.20221,2.14212,2.51068,0.266399,0.184996,0.223697,0.516138,0.430112,0.472966
"533","walking",0,0,0.015,0.17,0.11,0.15,0.335,0.205,0.015,0,0.195,0.44,0.23,0.09,0.045,0,0,0,0,0,0.24,0.325,0.26,0.135,0.04,0,0,0,0,0,9.49877,-0.339682,-0.417137,73.6,78.6957,47.25,3.08766,2.07648,2.42594,0.255223,0.180455,0.218707,0.505196,0.4248,0.467661
"534","walking",0,0,0.005,0.16,0.125,0.175,0.335,0.19,0.01,0,0.225,0.375,0.24,0.125,0.035,0,0,0,0,0,0.155,0.415,0.275,0.09,0.065,0,0,0,0,0,9.5101,-0.316844,-0.255729,78.2609,73.8462,51.3158,2.93684,2.14103,2.22312,0.243619,0.179886,0.209537,0.493578,0.42413,0.457752
"535","walking",0,0,0,0.145,0.135,0.18,0.365,0.16,0.015,0,0.24,0.375,0.245,0.115,0.025,0,0,0,0,0,0.145,0.44,0.24,0.155,0.02,0,0,0,0,0,9.55312,-0.428728,-0.256437,85.7143,77.0833,58.4375,2.69918,2.09774,2.2327,0.226297,0.177409,0.207176,0.475706,0.4212,0.455166
"536","walking",0,0,0.005,0.165,0.12,0.175,0.315,0.195,0.025,0,0.23,0.375,0.26,0.1,0.035,0,0,0,0,0,0.18,0.38,0.275,0.1,0.06,0.005,0,0,0,0,9.50907,-0.41689,-0.20186,80,67.2414,51.3158,2.93582,2.05829,2.35039,0.245488,0.172973,0.215966,0.495467,0.4159,0.464722
"537","walking",0,0,0,0.16,0.15,0.155,0.36,0.17,0.005,0,0.25,0.355,0.245,0.12,0.03,0,0,0,0,0,0.185,0.37,0.275,0.095,0.075,0,0,0,0,0,9.40427,-0.356359,-0.253385,83.913,73.75,54.1667,2.81943,2.15702,2.35547,0.230864,0.183891,0.21575,0.480483,0.428825,0.464489
"538","walking",0,0,0,0.105,0.185,0.215,0.335,0.155,0.005,0,0.255,0.345,0.275,0.105,0.02,0,0,0,0,0,0.155,0.455,0.23,0.13,0.03,0,0,0,0,0,9.44148,-0.488099,-0.305135,85.2174,77.9167,55.4286,2.60293,2.10511,2.0903,0.214239,0.179285,0.192963,0.46286,0.42342,0.439275
"539","walking",0,0,0,0.125,0.15,0.22,0.355,0.14,0.01,0,0.22,0.365,0.315,0.07,0.025,0.005,0,0,0,0,0.145,0.43,0.235,0.165,0.02,0.005,0,0,0,0,9.40013,-0.530235,-0.222622,74,72.963,54.4444,2.57185,2.01356,2.21322,0.21519,0.177291,0.201703,0.463886,0.42106,0.449113
"540","walking",0,0,0,0.155,0.14,0.195,0.34,0.15,0.02,0,0.21,0.39,0.31,0.065,0.02,0.005,0,0,0,0,0.19,0.365,0.265,0.135,0.045,0,0,0,0,0,9.44008,-0.48893,-0.313001,78.75,78,52.7027,2.84675,1.94189,2.42126,0.237345,0.171125,0.217495,0.487181,0.413673,0.466364
"541","walking",0,0,0,0.175,0.12,0.19,0.285,0.2,0.03,0,0.235,0.38,0.26,0.1,0.025,0,0,0,0,0,0.19,0.37,0.25,0.155,0.035,0,0,0,0,0,9.47933,-0.495,-0.320021,85.4545,80.4348,54.7059,2.9697,2.13185,2.35313,0.247806,0.180676,0.213591,0.497802,0.42506,0.462159
"542","walking",0,0,0.01,0.17,0.115,0.16,0.335,0.185,0.025,0,0.255,0.365,0.26,0.08,0.035,0.005,0,0,0,0,0.18,0.415,0.2,0.165,0.04,0,0,0,0,0,9.50082,-0.524924,-0.269294,82.2727,98.8889,56.6667,3.00162,2.11078,2.38011,0.251756,0.180859,0.217967,0.501753,0.425275,0.466869
"543","walking",0,0,0.01,0.16,0.125,0.185,0.31,0.185,0.025,0,0.245,0.355,0.275,0.095,0.03,0,0,0,0,0,0.22,0.355,0.215,0.2,0.01,0,0,0,0,0,9.51379,-0.537657,-0.441467,79.5652,87.7273,56.6667,2.92136,2.20382,2.41767,0.244619,0.188452,0.214811,0.49459,0.434111,0.463477
"544","walking",0,0,0.015,0.135,0.145,0.175,0.34,0.165,0.025,0,0.255,0.345,0.28,0.075,0.045,0,0,0,0,0,0.22,0.35,0.255,0.13,0.045,0,0,0,0,0,9.48973,-0.519772,-0.36974,79.5833,66.5517,51.0526,2.89592,2.20441,2.42303,0.243088,0.18553,0.220123,0.493039,0.430732,0.469172
"545","walking",0,0,0,0.16,0.135,0.2,0.32,0.155,0.03,0,0.25,0.355,0.29,0.075,0.03,0,0,0,0,0,0.18,0.415,0.22,0.16,0.025,0,0,0,0,0,9.44836,-0.572907,-0.339381,91.4286,82.1739,49.2308,2.86383,2.01965,2.34426,0.239624,0.176776,0.208828,0.489514,0.420447,0.456977
"546","walking",0,0,0,0.15,0.145,0.2,0.31,0.17,0.025,0,0.26,0.35,0.295,0.055,0.04,0,0,0,0,0,0.17,0.42,0.235,0.135,0.04,0,0,0,0,0,9.41241,-0.569546,-0.318929,76.4,78.6957,47.5,2.82221,2.10939,2.37704,0.233902,0.182944,0.211207,0.483634,0.427719,0.459573
"547","walking",0,0,0.005,0.13,0.165,0.21,0.31,0.15,0.03,0,0.23,0.37,0.295,0.075,0.03,0,0,0,0,0,0.19,0.405,0.225,0.165,0.015,0,0,0,0,0,9.42149,-0.567072,-0.38859,80.8333,78.8,53.8889,2.7746,2.01726,2.30845,0.232202,0.170574,0.207956,0.481873,0.413006,0.456022
"548","walking",0,0,0.01,0.115,0.16,0.2,0.345,0.145,0.025,0,0.185,0.42,0.3,0.05,0.04,0.005,0,0,0,0,0.16,0.41,0.255,0.145,0.025,0.005,0,0,0,0,9.40944,-0.492699,-0.233495,81.9048,83.1818,55.8824,2.62462,1.93348,2.22861,0.222222,0.177191,0.204158,0.471404,0.42094,0.451838
"549","walking",0,0,0.01,0.165,0.13,0.175,0.31,0.19,0.02,0,0.23,0.375,0.29,0.055,0.05,0,0,0,0,0,0.165,0.395,0.225,0.17,0.045,0,0,0,0,0,9.45111,-0.541705,-0.231337,79.5652,82.6087,49.4595,2.99125,2.09889,2.34903,0.249232,0.187741,0.212697,0.499231,0.433291,0.461191
"550","walking",0,0,0,0.135,0.15,0.2,0.37,0.14,0.005,0,0.23,0.38,0.27,0.08,0.04,0,0,0,0,0,0.155,0.41,0.245,0.145,0.045,0,0,0,0,0,9.42148,-0.470525,-0.213206,71.9231,80.4762,49.4872,2.68644,2.00267,2.28224,0.220934,0.177757,0.210775,0.470036,0.421613,0.459103
"551","walking",0,0,0,0.145,0.14,0.195,0.33,0.16,0.03,0,0.23,0.375,0.265,0.09,0.035,0.005,0,0,0,0,0.18,0.405,0.205,0.18,0.03,0,0,0,0,0,9.54479,-0.457283,-0.261107,81.7391,77.5,56.1765,2.81566,2.13469,2.36523,0.235015,0.190292,0.212861,0.484783,0.436225,0.461369
"552","walking",0,0,0,0.16,0.135,0.175,0.325,0.17,0.035,0,0.25,0.33,0.305,0.085,0.03,0,0,0,0,0,0.205,0.38,0.2,0.16,0.055,0,0,0,0,0,9.43718,-0.494981,-0.18354,85.9091,66.7857,53.6111,2.88688,2.14414,2.4155,0.240499,0.183979,0.21759,0.490407,0.428927,0.466466
"553","walking",0,0,0,0.17,0.125,0.19,0.345,0.15,0.02,0,0.24,0.355,0.295,0.065,0.04,0.005,0,0,0,0,0.18,0.415,0.225,0.125,0.055,0,0,0,0,0,9.43663,-0.443525,-0.217122,79.5652,74.4,56.1765,2.85603,2.19051,2.37188,0.239954,0.193107,0.214593,0.489851,0.439439,0.463242
"554","walking",0,0,0.03,0.145,0.125,0.215,0.255,0.18,0.05,0,0.3,0.345,0.235,0.09,0.03,0,0,0,0,0,0.275,0.33,0.175,0.155,0.065,0,0,0,0,0,9.40802,-0.839914,-0.760632,83.1818,70.8,57.0588,3.12324,2.2374,2.94064,0.263203,0.199713,0.266766,0.513033,0.446892,0.516493
"555","walking",0,0,0.01,0.145,0.17,0.175,0.255,0.215,0.03,0,0.295,0.37,0.22,0.1,0.015,0,0,0,0,0,0.3,0.32,0.215,0.155,0.01,0,0,0,0,0,9.40767,-0.999606,-1.15099,76.8,84.2857,53.6111,3.0222,2.23741,2.90619,0.249674,0.19496,0.261449,0.499674,0.441542,0.511321
"556","walking",0,0,0,0.105,0.195,0.195,0.31,0.17,0.025,0,0.32,0.32,0.27,0.075,0.015,0,0,0,0,0,0.26,0.335,0.255,0.15,0,0,0,0,0,0,9.48249,-0.970584,-1.11912,81.3043,75.4167,53.7143,2.68995,2.17498,2.74356,0.223751,0.187504,0.246608,0.473023,0.433018,0.496596
"557","walking",0,0,0.01,0.145,0.155,0.18,0.295,0.19,0.025,0,0.305,0.355,0.22,0.11,0.01,0,0,0,0,0,0.31,0.3,0.24,0.15,0,0,0,0,0,0,9.4341,-0.968124,-1.31387,83.8095,78.1818,50.2703,2.95957,2.2325,2.90336,0.246398,0.193347,0.255803,0.496385,0.439713,0.505769
"558","walking",0,0,0.025,0.115,0.17,0.185,0.25,0.24,0.015,0,0.34,0.33,0.215,0.095,0.02,0,0,0,0,0,0.315,0.335,0.21,0.14,0,0,0,0,0,0,9.45086,-1.11589,-1.46698,86.1905,74,54.2857,3.01093,2.30712,2.92895,0.247206,0.197286,0.258557,0.497199,0.444169,0.508485
"559","walking",0,0,0,0.135,0.17,0.225,0.3,0.16,0.01,0,0.3,0.365,0.25,0.075,0.01,0,0,0,0,0,0.315,0.375,0.22,0.09,0,0,0,0,0,0,9.32362,-1.05099,-1.6634,87.7273,67.6923,54,2.60914,2.03182,2.45613,0.214331,0.178204,0.228829,0.462959,0.422143,0.478361
"560","walking",0,0,0.005,0.095,0.235,0.21,0.27,0.175,0.01,0,0.265,0.4,0.25,0.08,0.005,0,0,0,0,0,0.295,0.385,0.19,0.12,0.01,0,0,0,0,0,9.2909,-1.00226,-1.48826,82.7273,79.5652,50.5128,2.64528,1.98837,2.63108,0.21841,0.174354,0.245185,0.467343,0.417557,0.495162
"561","walking",0,0,0.005,0.135,0.17,0.24,0.245,0.19,0.015,0,0.295,0.375,0.265,0.045,0.02,0,0,0,0,0,0.305,0.295,0.26,0.135,0.005,0,0,0,0,0,9.31306,-1.08578,-1.36398,88.5714,91.9048,54.1667,2.80924,2.00211,2.85087,0.234174,0.175379,0.256214,0.483915,0.418783,0.506176
"562","walking",0,0,0,0.125,0.185,0.22,0.28,0.18,0.01,0,0.31,0.395,0.21,0.075,0.01,0,0,0,0,0,0.315,0.315,0.245,0.12,0.005,0,0,0,0,0,9.36582,-1.16228,-1.51333,76,75,54.2857,2.72047,2.09363,2.77916,0.224775,0.186521,0.249712,0.474105,0.431881,0.499712
"563","walking",0,0,0,0.115,0.2,0.18,0.32,0.18,0.005,0,0.31,0.33,0.265,0.07,0.025,0,0,0,0,0,0.275,0.35,0.275,0.1,0,0,0,0,0,0,9.4717,-1.02609,-1.21923,75.6,87.7273,57.5758,2.78783,2.19175,2.54908,0.227571,0.192181,0.233803,0.477044,0.438385,0.483531
"564","walking",0,0,0.005,0.115,0.175,0.26,0.3,0.12,0.025,0,0.265,0.375,0.265,0.085,0.01,0,0,0,0,0,0.315,0.4,0.21,0.075,0,0,0,0,0,0,9.34268,-0.956237,-1.65539,93.5,72.6923,57.2727,2.59347,2.11505,2.42882,0.219717,0.183939,0.226347,0.46874,0.428881,0.475759
"565","walking",0,0,0,0.08,0.23,0.255,0.275,0.155,0.005,0,0.275,0.325,0.315,0.07,0.015,0,0,0,0,0,0.315,0.315,0.255,0.105,0.01,0,0,0,0,0,9.33149,-0.889284,-1.47828,81.7391,74.8,48.9744,2.47091,2.15747,2.64891,0.206235,0.188591,0.238636,0.454132,0.434271,0.488504
"566","walking",0,0,0,0.07,0.245,0.25,0.27,0.16,0.005,0,0.315,0.365,0.25,0.065,0.005,0,0,0,0,0,0.335,0.34,0.22,0.09,0.015,0,0,0,0,0,9.24221,-1.35312,-1.57358,80.4167,70.7407,53.4286,2.52932,2.12064,2.52832,0.207176,0.190146,0.231518,0.455166,0.436058,0.481163
"567","walking",0,0,0.005,0.085,0.2,0.265,0.295,0.145,0.005,0,0.32,0.37,0.245,0.065,0,0,0,0,0,0,0.315,0.43,0.185,0.07,0,0,0,0,0,0,9.33849,-1.55129,-1.89947,73.6,68.4615,53.1429,2.42408,2.29366,2.54125,0.204121,0.205746,0.235796,0.451798,0.453592,0.485588
"568","walking",0,0,0.02,0.105,0.165,0.21,0.275,0.21,0.015,0,0.305,0.35,0.265,0.045,0.035,0,0,0,0,0,0.3,0.34,0.23,0.125,0.005,0,0,0,0,0,9.51928,-1.14175,-1.35491,72.4,68.9286,55.7576,2.79928,2.26657,2.71734,0.23181,0.200564,0.247382,0.481466,0.447844,0.497375
"569","walking",0,0,0.005,0.115,0.18,0.205,0.295,0.2,0,0,0.27,0.36,0.275,0.085,0.01,0,0,0,0,0,0.32,0.315,0.235,0.12,0.01,0,0,0,0,0,9.37058,-0.893222,-1.55109,78,73.6,51.0811,2.77369,2.11929,2.82214,0.228098,0.180944,0.25719,0.477596,0.425375,0.507139
"570","walking",0,0,0.01,0.13,0.16,0.2,0.27,0.225,0.005,0,0.26,0.4,0.245,0.08,0.015,0,0,0,0,0,0.32,0.32,0.245,0.11,0.005,0,0,0,0,0,9.42511,-0.908948,-1.45627,77.3913,70.8,55.1429,2.85098,2.11131,2.75673,0.233865,0.186258,0.247877,0.483596,0.431577,0.497873
"571","walking",0.005,0.21,0.455,0.11,0.11,0.105,0.005,0,0,0,0.28,0.23,0.065,0.155,0.27,0,0,0,0,0,0,0.02,0.11,0.06,0.32,0.42,0.045,0.02,0.005,0,2.26964,0.698438,6.88184,40.8511,41.5556,43.5556,2.60263,3.87794,2.10163,0.220972,0.300118,0.20686,0.470076,0.54783,0.454819
"572","walking",0.015,0.125,0.475,0.335,0.05,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.025,0.445,0.4,0.13,0,0,0,0,0,0,1.93182,-9.42309,0.356678,52.5714,48.9189,51.8919,1.56923,1.80676,1.21299,0.138874,0.171666,0.115574,0.372657,0.414326,0.339962
"573","walking",0.03,0.17,0.695,0.105,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.01,0.48,0.355,0.09,0.065,0,0,0,0,0,0.913662,-9.58344,0.586926,57.1875,61.9355,43.8095,1.11533,1.70584,1.3956,0.108428,0.153771,0.137677,0.329284,0.392136,0.371048
"574","walking",0.03,0.21,0.64,0.12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.01,0.53,0.345,0.06,0.055,0,0,0,0,0,0.707989,-9.73505,0.379703,51.3514,60.625,39.7917,1.13572,1.72509,1.20842,0.109862,0.158756,0.126899,0.331455,0.398442,0.356229
"575","walking",0.055,0.35,0.505,0.09,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.005,0.55,0.31,0.07,0.065,0,0,0,0,0,0.286183,-9.57913,0.4159,55.4286,64.1379,43.4091,1.21953,2.02265,1.4456,0.115535,0.185754,0.146182,0.339905,0.430991,0.382337
"576","walking",0.05,0.295,0.58,0.075,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.015,0.45,0.405,0.07,0.06,0,0,0,0,0,0.374177,-9.76158,0.453019,52.4324,64.3333,39.4,1.1531,1.90483,1.27237,0.111112,0.172776,0.133742,0.333335,0.415663,0.365708
"577","walking",0.075,0.365,0.49,0.07,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.02,0.485,0.34,0.075,0.08,0,0,0,0,0,0.0815981,-9.55875,0.535416,54.5714,58.0645,40.8696,1.24614,2.14916,1.53081,0.120008,0.197322,0.151246,0.346421,0.44421,0.388903
"578","walking",0.055,0.385,0.52,0.04,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.005,0.525,0.36,0.045,0.065,0,0,0,0,0,0.0478053,-9.72234,0.3776,47.4359,59.6774,40.2083,1.12825,2.05985,1.29261,0.106976,0.189635,0.136683,0.327072,0.435471,0.369706
"579","walking",0.07,0.42,0.485,0.025,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.015,0.465,0.36,0.09,0.07,0,0,0,0,0,-0.201649,-9.64277,0.565512,51.3514,59.0909,38.3673,1.09035,1.97139,1.50675,0.1051,0.179801,0.148952,0.324191,0.424029,0.385943
"580","walking",0.075,0.53,0.365,0.03,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.005,0.43,0.44,0.065,0.06,0,0,0,0,0,-0.349173,-9.69278,0.521933,53.4286,63.2258,40.4167,1.09795,2.00057,1.23256,0.104985,0.177513,0.129912,0.324014,0.421323,0.360433
"581","walking",0.09,0.545,0.36,0.005,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.03,0.43,0.37,0.09,0.08,0,0,0,0,0,-0.671237,-9.63034,0.69542,57.2727,61.2903,44.186,1.18408,1.89437,1.61612,0.118214,0.176654,0.154168,0.343823,0.420303,0.392642
"582","walking",0.12,0.54,0.34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.025,0.485,0.365,0.05,0.075,0,0,0,0,0,-0.67647,-9.74488,0.427393,58.3871,59.3548,43.3333,1.23084,2.06054,1.29072,0.114329,0.189048,0.135733,0.338126,0.434797,0.36842
"583","walking",0.12,0.58,0.295,0.005,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.015,0.435,0.38,0.08,0.09,0,0,0,0,0,-0.812141,-9.57224,0.748805,57.1875,64.4828,44.4186,1.16273,1.9977,1.53206,0.110337,0.180228,0.146959,0.33217,0.424533,0.383352
"584","walking",0.13,0.6,0.27,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.005,0.515,0.365,0.06,0.055,0,0,0,0,0,-0.879678,-9.81384,0.338805,53.6111,62.3333,45.7143,1.10687,1.9378,1.29155,0.104307,0.1771,0.134007,0.322966,0.420833,0.36607
"585","walking",0.16,0.555,0.285,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.02,0.47,0.345,0.105,0.06,0,0,0,0,0,-0.950265,-9.56298,0.588402,51.0811,61.2903,44.186,1.27442,2.12331,1.509,0.116889,0.196107,0.14505,0.341891,0.442839,0.380854
"586","walking",0.165,0.48,0.35,0.005,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.025,0.45,0.405,0.05,0.07,0,0,0,0,0,-0.856552,-9.78356,0.448856,66.5517,60.3125,44.0909,1.39882,1.98344,1.33699,0.127096,0.185251,0.135948,0.356505,0.430407,0.368712
"587","walking",0.145,0.55,0.305,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.02,0.42,0.38,0.1,0.08,0,0,0,0,0,-0.881456,-9.51242,0.631053,56.1765,62,48.5,1.25723,2.19728,1.57398,0.11752,0.199989,0.14886,0.342812,0.447201,0.385824
"588","walking",0.135,0.53,0.335,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.01,0.475,0.395,0.08,0.04,0,0,0,0,0,-0.848134,-9.75054,0.387856,58.7879,56.4706,49.7436,1.2297,1.84766,1.28082,0.114052,0.171653,0.128829,0.337716,0.41431,0.358927
"589","walking",0.155,0.575,0.265,0.005,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.02,0.455,0.345,0.105,0.075,0,0,0,0,0,-0.943064,-9.58347,0.568256,55.2941,63.4483,49,1.18864,2.17859,1.57051,0.111799,0.19773,0.152119,0.334363,0.444668,0.390024
